,GEOID,households
600,4703791178.0,482
601,4703790988.0,460
602,4703790988.0,309
603,4703790988.0,557
604,4703790988.0,373
605,4703791178.0,267
606,4703790798.0,291
607,4703790798.0,320
608,4703790798.0,373
609,4703790798.0,316
610,4703790798.0,245
611,4703790798.0,352
612,4703790798.0,132
613,4703790798.0,519
614,4703790798.0,615
615,4703790798.0,325
616,4703790988.0,331
617,4703790988.0,541
618,4703790988.0,270
619,4703790988.0,464
620,4703790988.0,300
621,4703790988.0,343
622,4703790798.0,772
623,4703790228.0,441
624,4703790228.0,864
625,4703790228.0,416
626,4703790228.0,417
627,4703790228.0,644
628,4703790228.0,365
629,4703790038.0,597
630,4703790228.0,289
631,4703790038.0,458
632,4703790228.0,703
633,4703790228.0,469
634,4703790038.0,370
635,4703790038.0,298
636,4703790038.0,38
637,4703793648.0,0
638,4703790038.0,340
639,4703793648.0,704
640,4703793648.0,616
641,4703793648.0,736
642,4703793648.0,492
643,4703793648.0,620
644,4703793648.0,251
645,4703793648.0,322
646,4703793648.0,588
647,4703793648.0,597
648,4703793648.0,458
649,4703794408.0,772
650,4703794408.0,533
651,4703794408.0,1015
652,4703794408.0,466
653,4703794408.0,770
654,4703793838.0,219
655,4703793838.0,330
656,4703793838.0,235
657,4703793838.0,468
658,4703793838.0,133
659,4703790228.0,1119
660,4703793838.0,382
661,4703793838.0,560
662,4703790228.0,486
663,4703790228.0,309
664,4703793838.0,279
665,4703793838.0,367
666,4703793838.0,702
667,4703793458.0,446
668,4703793838.0,433
669,4703793838.0,310
670,4703793838.0,538
671,4703793458.0,324
672,4703793838.0,709
673,4703793458.0,231
674,4703793458.0,399
675,4703793458.0,410
676,4703792698.0,406
677,4703792698.0,291
678,4703792698.0,437
679,4703792698.0,805
680,4703792698.0,834
681,4703792698.0,339
682,4703792698.0,303
683,4703792698.0,1171
684,4703792698.0,618
685,4703792698.0,691
686,4703791938.0,186
687,4703791938.0,686
688,4703791938.0,1534
689,4703792508.0,249
690,4703792508.0,316
691,4703792508.0,377
692,4703792508.0,651
693,4703792508.0,270
694,4703792508.0,332
695,4703791938.0,293
696,4703791938.0,739
697,4703792128.0,966
698,4703791938.0,1059
699,4703792508.0,899
700,4703792698.0,151
701,4703792508.0,642
702,4703792508.0,737
703,4703792508.0,463
704,4703792508.0,772
705,4703792128.0,298
706,4703792508.0,1373
707,4703792508.0,952
708,4703792128.0,513
709,4703792128.0,1956
710,4703792508.0,1532
711,4703795510.0,412
712,4703795510.0,1573
713,4703795510.0,1051
714,4703795510.0,294
715,4703792318.0,785
716,4703795320.0,298
717,4703792318.0,0
718,4703795320.0,564
719,4703795320.0,430
720,4703795320.0,1149
721,4703795320.0,983
722,4703795320.0,537
723,4703795510.0,453
724,4703795510.0,585
725,4703795510.0,391
726,4703795510.0,436
727,4703795510.0,313
728,4703795510.0,1169
729,4703796270.0,574
730,4703796270.0,535
731,4703795510.0,799
732,4703795510.0,689
733,4703796270.0,948
734,4703796270.0,936
735,4703792128.0,326
736,4703792128.0,1267
737,4703792508.0,1312
738,4703792128.0,1140
739,4703792318.0,1226
740,4703792508.0,1041
741,4703792318.0,893
742,4703792318.0,1751
743,4703795320.0,1262
744,4703796080.0,1375
745,4703795320.0,401
746,4703795320.0,623
747,4703796080.0,448
748,4703796080.0,1088
749,4703796080.0,708
750,4703796080.0,1371
751,4703796080.0,446
752,4703796080.0,344
753,4703796080.0,1396
754,4703796270.0,1175
755,4703796270.0,2006
756,4703796270.0,934
757,4703792318.0,547
758,4703792318.0,650
759,4703792318.0,304
760,4703792888.0,1145
761,4703792888.0,575
762,4703792698.0,661
763,4703792318.0,291
764,4703792318.0,709
765,4703792318.0,827
766,4703792318.0,333
767,4703793078.0,818
768,4703793078.0,472
769,4703793078.0,414
770,4703793078.0,533
771,4703793078.0,528
772,4703793078.0,367
773,4703793078.0,507
774,4703793078.0,495
775,4703793078.0,402
776,4703793458.0,543
777,4703793078.0,370
778,4703793078.0,327
779,4703793458.0,547
780,4703793268.0,743
781,4703793838.0,907
782,4703793268.0,0
783,4703793268.0,0
784,4703793268.0,0
785,4703793838.0,1529
786,4703793268.0,979
787,4703794408.0,1220
788,4703794408.0,761
789,4703794408.0,385
790,4703794408.0,545
791,4703793268.0,826
792,4703793268.0,703
793,4703793268.0,563
794,4703793268.0,273
795,4703793268.0,391
796,4703793268.0,428
797,4703793268.0,615
798,4703793268.0,523
799,4703793268.0,381
800,4703793078.0,680
801,4703793078.0,352
802,4703793268.0,592
803,4703793078.0,1021
804,4703793078.0,488
805,4703793078.0,436
806,4703793078.0,368
807,4703793078.0,378
808,4703792888.0,674
809,4703792888.0,266
810,4703793078.0,331
811,4703792888.0,622
812,4703792888.0,247
813,4703792888.0,596
814,4703792888.0,399
815,4703792888.0,460
816,4703792888.0,507
817,4703792888.0,680
818,4703792888.0,396
819,4703792888.0,586
820,4703794940.0,304
821,4703794598.0,454
822,4703794598.0,481
823,4703794598.0,722
824,4703794598.0,824
825,4703794598.0,77
826,4703794598.0,519
827,4703794598.0,788
828,4703794598.0,357
829,4703794598.0,751
830,4703794598.0,572
831,4703794598.0,518
832,4703796460.0,971
833,4703794598.0,414
834,4703794598.0,541
835,4703796460.0,427
836,4703796460.0,959
837,4703794598.0,1091
838,4703794598.0,524
839,4703794598.0,318
840,4703794408.0,523
841,4703794408.0,776
842,4703794408.0,495
843,4703794408.0,527
844,4703793648.0,890
845,4703793648.0,868
846,4703794218.0,361
847,4703794408.0,1040
848,4703794218.0,490
849,4703794218.0,417
850,4703794218.0,533
851,4703794218.0,383
852,4703794218.0,457
853,4703794218.0,1732
854,4703794218.0,1624
855,4703794218.0,302
856,4703794218.0,316
857,4703796650.0,828
858,4703796650.0,367
859,4703796650.0,1530
860,4703796650.0,838
861,4703796650.0,1067
862,4703794028.0,718
863,4703794028.0,583
864,4703794028.0,957
865,4703794028.0,512
866,4703794028.0,509
867,4703796460.0,1264
868,4703796460.0,886
869,4703796460.0,459
870,4703796650.0,495
871,4703796650.0,711
872,4703796650.0,685
873,4703796650.0,1041
874,4703794028.0,764
875,4703796650.0,896
876,4703796650.0,445
877,4703796650.0,1109
878,4703794028.0,1100
879,4703794028.0,1139
880,4703794028.0,546
881,4703794218.0,385
882,4703794218.0,347
883,4703794218.0,297
884,4703796460.0,410
885,4703794218.0,386
886,4703794218.0,313
887,4703796460.0,565
888,4703796460.0,334
889,4703796460.0,486
890,4703796460.0,258
891,4703796460.0,634
892,4703796460.0,266
893,4703796460.0,428
894,4703796460.0,703
895,4703796460.0,330
896,4703794940.0,397
897,4703794940.0,278
898,4703794940.0,1295
899,4703794940.0,332
900,4703794940.0,281
901,4703790608.0,956
902,4703790608.0,1212
903,4703790608.0,1382
904,4703790608.0,855
905,4703794940.0,672
906,4703794940.0,713
907,4703794940.0,441
908,4703794940.0,275
909,4703794940.0,404
910,4703795130.0,315
911,4703795130.0,953
912,4703795130.0,398
913,4703795130.0,15
914,4703795130.0,1027
915,4703795130.0,329
916,4703795700.0,544
917,4703795700.0,250
918,4703795700.0,499
919,4703795700.0,577
920,4703795700.0,560
921,4703795700.0,509
922,4703795700.0,540
923,4703794940.0,893
924,4703794940.0,350
925,4703794940.0,892
926,4703794940.0,685
927,4703794940.0,332
928,4703795130.0,402
929,4703795130.0,1285
930,4703795130.0,391
931,4703795130.0,240
932,4703795130.0,1361
933,4703795130.0,210
934,4703795130.0,407
935,4703795700.0,454
936,4703795700.0,720
937,4703795700.0,518
938,4703795700.0,509
939,4703795700.0,625
940,4703795130.0,371
941,4703795130.0,276
942,4703795890.0,670
943,4703795890.0,500
944,4703795890.0,1077
945,4703795890.0,405
946,4703795890.0,1794
947,4703795890.0,5742
948,4703790608.0,1488
949,4703790608.0,1714
950,4703790608.0,1226
951,4703795890.0,1528
952,4703796080.0,1980
953,4703796080.0,500
954,4703790988.0,569
955,4703790988.0,345
956,4703790988.0,402
957,4703790988.0,366
958,4703790988.0,506
959,4703790988.0,223
960,4703790988.0,626
961,4703793458.0,899
962,4703793458.0,1981
963,4703793458.0,618
964,4703793458.0,1510
965,4703793458.0,2861
966,4703793458.0,800
967,4703793458.0,505
968,4703792698.0,646
969,4703793458.0,1198
970,4703792318.0,0
971,4703792888.0,0
972,4703991180.0,450
973,4703991560.0,346
974,4703991180.0,541
975,4703990990.0,950
976,4703991560.0,594
977,4703990610.0,271
978,4703990420.0,479
979,4703990040.0,526
980,4703990040.0,381
981,4703990230.0,371
982,4704190612.0,450
983,4704190802.0,440
984,4704190802.0,466
985,4704190992.0,524
986,4704190992.0,660
987,4704191182.0,551
988,4704190612.0,877
989,4704190422.0,627
990,4704190422.0,754
991,4704190232.0,849
992,4704190042.0,477
993,4704190042.0,659
994,4704190042.0,279
995,4704390424.0,807
996,4704390424.0,852
997,4704390614.0,699
998,4704390614.0,750
999,4704390044.0,720
1000,4704390044.0,451
1001,4704390804.0,971
1002,4704390804.0,1142
1003,4704392134.0,558
1004,4704391754.0,289
1005,4704391754.0,459
1006,4704392134.0,521
1007,4704390994.0,1369
1008,4704390994.0,1047
1009,4704391754.0,506
1010,4704391754.0,382
1011,4704391944.0,1043
1012,4704391754.0,840
1013,4704391564.0,467
1014,4704391564.0,389
1015,4704391564.0,406
1016,4704391564.0,479
1017,4704390234.0,634
1018,4704391374.0,377
1019,4704391184.0,1005
1020,4704391184.0,800
1021,4704390234.0,483
1022,4704390234.0,485
1023,4704390424.0,747
1024,4704390234.0,1035
1025,4704590426.0,812
1026,4704590236.0,886
1027,4704590616.0,1057
1028,4704591756.0,1099
1029,4704591756.0,741
1030,4704591756.0,367
1031,4704591186.0,334
1032,4704591566.0,276
1033,4704591566.0,494
1034,4704591566.0,546
1035,4704591376.0,363
1036,4704591376.0,451
1037,4704590996.0,394
1038,4704590996.0,216
1039,4704590996.0,443
1040,4704590046.0,413
1041,4704591376.0,945
1042,4704590426.0,531
1043,4704590426.0,373
1044,4704590046.0,520
1045,4704590046.0,570
1046,4704590806.0,727
1047,4704590806.0,583
1048,4704590616.0,611
1049,4704590616.0,601
1050,4704590806.0,798
1051,4704790428.0,419
1052,4704790428.0,224
1053,4704790428.0,268
1054,4704790428.0,291
1055,4704790428.0,526
1056,4704791378.0,656
1057,4704791378.0,395
1058,4704790428.0,563
1059,4704790618.0,460
1060,4704790808.0,674
1061,4704790998.0,589
1062,4704791378.0,354
1063,4704790998.0,720
1064,4704790998.0,1580
1065,4704790998.0,603
1066,4704790428.0,369
1067,4704790428.0,327
1068,4704790048.0,372
1069,4704791188.0,477
1070,4704790238.0,527
1071,4704790048.0,310
1072,4704790238.0,374
1073,4704791188.0,253
1074,4704791188.0,378
1075,4704790998.0,600
1076,4704791188.0,326
1077,4704790808.0,549
1078,4704790808.0,381
1079,4704790808.0,694
1080,4704790808.0,491
1081,4704790238.0,431
1082,4704790428.0,236
1083,4704790238.0,310
1084,4704990810.0,774
1085,4704990240.0,658
1086,4704990810.0,514
1087,4704990240.0,331
1088,4704990050.0,486
1089,4704990240.0,595
1090,4704990430.0,949
1091,4704990810.0,1009
1092,4704990810.0,351
1093,4704990620.0,738
1094,4704990620.0,615
1095,4704990620.0,491
1096,4705191002.0,467
1097,4705191002.0,514
1098,4705191002.0,415
1099,4705191192.0,215
1100,4705191192.0,1069
1101,4705190432.0,505
1102,4705191192.0,784
1103,4705191002.0,680
1104,4705191002.0,883
1105,4705191382.0,658
1106,4705190432.0,534
1107,4705190432.0,644
1108,4705191382.0,821
1109,4705190242.0,730
1110,4705190052.0,484
1111,4705190052.0,1146
1112,4705190242.0,524
1113,4705190052.0,575
1114,4705190622.0,463
1115,4705190622.0,1014
1116,4705190622.0,438
1117,4705190812.0,656
1118,4705190812.0,282
1119,4705190812.0,418
1120,4705190812.0,403
1121,4705190432.0,728
1122,4705190432.0,442
1123,4705392904.0,632
1124,4705392904.0,485
1125,4705393474.0,353
1126,4705393474.0,537
1127,4705393474.0,537
1128,4705393284.0,566
1129,4705393284.0,417
1130,4705392714.0,509
1131,4705392524.0,283
1132,4705392524.0,395
1133,4705391954.0,352
1134,4705391954.0,642
1135,4705391954.0,519
1136,4705392144.0,463
1137,4705392334.0,431
1138,4705391954.0,460
1139,4705392144.0,610
1140,4705391194.0,306
1141,4705391004.0,373
1142,4705391574.0,549
1143,4705391764.0,516
1144,4705391764.0,631
1145,4705391194.0,696
1146,4705391384.0,237
1147,4705391384.0,272
1148,4705391384.0,493
1149,4705390624.0,312
1150,4705390814.0,291
1151,4705390814.0,415
1152,4705390434.0,403
1153,4705390434.0,506
1154,4705390244.0,577
1155,4705390244.0,986
1156,4705390054.0,1700
1157,4705390054.0,663
1158,4705392904.0,442
1159,4705393284.0,313
1160,4705393094.0,605
1161,4705391954.0,518
1162,4705392144.0,0
1163,4705590436.0,717
1164,4705590626.0,533
1165,4705590436.0,745
